timestamp,sensor_id,vehicle_speed (km/h),latitude,longitude,traffic_pattern,incident_report,accident_hotspot,event_type
2024-12-06 18:30:00,Vehicle_3,20,34.76442384840204,-96.07551246603839,Heavy,None,0,Normal
2024-12-06 18:45:00,Vehicle_4,49,35.373611366543386,-85.63830644676278,Clear,Accident,0,Accident
2024-12-06 19:00:00,Vehicle_5,84,39.10798112995606,-116.76552124798349,Heavy,Traffic Jam,0,Accident
2024-12-06 19:15:00,Vehicle_6,38,35.203881437821465,-79.1820802708308,Light,Breakdown,0,Normal
2024-12-06 19:30:00,Vehicle_7,76,38.25760363697239,-88.83969088463496,Heavy,Traffic Jam,0,Accident
2024-12-06 19:45:00,Vehicle_8,103,36.845789447575996,-114.81265908823863,Moderate,Traffic Jam,0,Accident
2024-12-06 20:00:00,Vehicle_9,29,39.73053533607072,-104.6532487869602,Clear,Accident,0,Accident
2024-12-06 20:15:00,Vehicle_10,36,34.609900347836216,-81.96758173903933,Clear,Breakdown,0,Accident
2024-12-06 20:30:00,Vehicle_1,20,35.37789595277428,-84.09740194419263,Clear,Police Blockade,0,Congestion
2024-12-06 20:45:00,Vehicle_2,104,37.33243673426534,-80.70359848459101,Moderate,None,0,Congestion
2024-12-06 21:00:00,Vehicle_3,90,38.68683333657865,-101.14687000258047,Moderate,None,0,Congestion
2024-12-06 21:15:00,Vehicle_4,26,35.21509682261806,-113.1109438757519,Light,Accident,0,Accident
2024-12-06 21:30:00,Vehicle_5,109,38.22736737720021,-100.1723012159385,Light,Traffic Jam,0,Accident
2024-12-06 21:45:00,Vehicle_6,20,35.200552436313835,-100.67412671666985,Moderate,Breakdown,0,Accident
2024-12-06 22:00:00,Vehicle_7,42,38.98907097146104,-74.67273555332329,Light,None,0,Accident
2024-12-06 22:15:00,Vehicle_8,91,35.2951735319,-103.4518840311733,Moderate,Police Blockade,0,Accident
2024-12-06 22:30:00,Vehicle_9,114,39.384139595355464,-73.90859799069844,Moderate,Traffic Jam,0,Normal
2024-12-06 22:45:00,Vehicle_10,40,35.588164095395555,-86.98582112246805,Light,Breakdown,0,Normal
2024-12-06 23:00:00,Vehicle_1,42,38.61371035206362,-74.23496342871118,Light,Police Blockade,0,Congestion
2024-12-06 23:15:00,Vehicle_2,74,36.154709880411,-101.63304745931273,Moderate,None,0,Congestion
2024-12-06 23:30:00,Vehicle_3,44,34.636056717195856,-115.81500686113172,Moderate,Accident,0,Normal
2024-12-06 23:45:00,Vehicle_4,118,34.108074106380954,-102.14175589659379,Heavy,None,0,Normal
2024-12-07 00:00:00,Vehicle_5,28,37.950283800303474,-81.40953391202126,Clear,None,0,Normal
2024-12-07 00:15:00,Vehicle_6,27,35.72235441700252,-107.74415788478899,Clear,Breakdown,0,Congestion
2024-12-07 00:30:00,Vehicle_7,34,38.44745171102235,-79.34678801967192,Light,None,0,Congestion
2024-12-07 00:45:00,Vehicle_8,61,37.46116839762155,-107.45219218233811,Moderate,Breakdown,1,Normal
2024-12-07 01:00:00,Vehicle_9,61,37.56442081085747,-104.38784859060307,Moderate,Police Blockade,0,Accident
2024-12-07 01:15:00,Vehicle_10,57,37.83220811249233,-100.96717015051055,Heavy,Breakdown,0,Normal
2024-12-07 01:30:00,Vehicle_1,115,35.96503928596602,-109.0614041927637,Light,Police Blockade,0,Congestion
2024-12-07 01:45:00,Vehicle_2,34,38.26951913813998,-113.43587496632499,Moderate,Breakdown,0,Accident
2024-12-07 02:00:00,Vehicle_3,101,36.401384870676075,-81.99989608590747,Heavy,Accident,0,Congestion
2024-12-07 02:15:00,Vehicle_4,28,38.577523390186485,-100.47322384341486,Clear,None,1,Normal
2024-12-07 02:30:00,Vehicle_5,112,38.51956921756084,-82.40914616152618,Heavy,Accident,0,Congestion
2024-12-07 02:45:00,Vehicle_6,98,35.906113690652845,-117.74948595808675,Clear,Accident,0,Accident
2024-12-07 03:00:00,Vehicle_7,44,36.57536502019,-90.48774722604372,Moderate,None,0,Normal
2024-12-07 03:15:00,Vehicle_8,71,34.40645450707933,-99.8554578275425,Moderate,Police Blockade,0,Normal
2024-12-07 03:30:00,Vehicle_9,52,39.82902537515585,-109.59675530424872,Clear,Breakdown,0,Accident
2024-12-07 03:45:00,Vehicle_10,25,35.429373757359215,-90.36902690857573,Moderate,Police Blockade,0,Congestion
2024-12-07 04:00:00,Vehicle_1,22,38.75251754021361,-114.71508142020399,Heavy,Breakdown,0,Accident
2024-12-07 04:15:00,Vehicle_2,61,37.25712388830372,-89.2205274489441,Heavy,None,1,Congestion
2024-12-07 04:30:00,Vehicle_3,101,39.69307273088001,-110.33856468344104,Heavy,None,0,Congestion
2024-12-07 04:45:00,Vehicle_4,39,35.91142379479982,-102.83354122992525,Moderate,Breakdown,0,Congestion
2024-12-07 05:00:00,Vehicle_5,117,37.96669868304719,-101.90169623599981,Heavy,Police Blockade,0,Accident
2024-12-07 05:15:00,Vehicle_6,93,34.50679253273747,-96.71328067499081,Heavy,Accident,0,Congestion
2024-12-07 05:30:00,Vehicle_7,118,34.14143758060171,-113.47944996679858,Heavy,Accident,0,Congestion
2024-12-07 05:45:00,Vehicle_8,77,38.72439130590289,-108.39876764940722,Heavy,Accident,0,Accident
2024-12-07 06:00:00,Vehicle_9,44,37.819632836043546,-85.19709110982903,Heavy,Breakdown,0,Congestion
2024-12-07 06:15:00,Vehicle_10,103,35.18216285417049,-82.16237481948968,Heavy,Accident,0,Congestion
2024-12-07 06:30:00,Vehicle_1,114,34.06652344749978,-95.7009424488099,Light,Traffic Jam,0,Congestion
2024-12-07 06:45:00,Vehicle_2,82,35.23111273836691,-89.32360108420133,Heavy,Breakdown,1,Congestion
2024-12-07 07:00:00,Vehicle_3,83,35.996980870607715,-90.80268789054632,Light,Police Blockade,1,Accident
2024-12-07 07:15:00,Vehicle_4,35,39.49124127092884,-75.18228041171773,Clear,Police Blockade,0,Congestion
2024-12-07 07:30:00,Vehicle_5,32,36.11024303752246,-84.53424738371552,Light,None,0,Accident
2024-12-07 07:45:00,Vehicle_6,68,38.35494148916602,-118.36543438573825,Heavy,Accident,0,Congestion
2024-12-07 08:00:00,Vehicle_7,23,37.820483779358014,-105.38270816743517,Clear,Accident,0,Congestion
2024-12-07 08:15:00,Vehicle_8,61,35.69387207631117,-96.2162518749022,Moderate,Accident,0,Congestion
2024-12-07 08:30:00,Vehicle_9,20,38.70460331225186,-109.41377666876349,Clear,None,0,Accident
2024-12-07 08:45:00,Vehicle_10,75,37.99448885417838,-100.71646249004334,Heavy,Accident,0,Accident
